Sentence,Sentiment
according finnishrussian chamber commerce major construction companies finland operating russia,0
swedish buyout firm sold remaining percent stake almost eighteen months taking company public finland,0
surprised green close,1
shells billion deal meets shareholder skepticism,-1
communications security corp stock exchange release october company updates full year outlook estimates results remain loss full year,-1
stockmann department store total floor space square metres stockmann investment project price million,0
circulation revenue increased finland sweden ,1
disappoints software licenses down real problem cloud growth trails msft orcl goog adbe httpstcojndphllzq,-1
subdivision made sales revenues last year million million operating profits million million,1
viking line canceled services,0
ahlstrom corporation stock exchange announcement  total shares ahlstrom corporation subscribed option rights company stock option programs ,0
gone green,1
msft server revenue grew doubledigit server premium revenue growing httpstkscoirf,1
company share quoted nasdaq helsinki rautaruukki rtrks,0
elcoteq listed nasdaq helsinki,0
contracts turntable anode vibrocompactors delivered gansu hualu aluminum another unnamed costumer,0
aviva friends life forecasts ahead billion pound merger,1
stead based soft drink usual teho energy drink made fresh water,0
company plans increase unit specialist staff several dozen depending market situation ,0
company closed last year turnover four million euros,0
shire steps drive baxalta board talking,1
first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars dozens design awards,0
profit taxes million,0
royal dutch shell group nearly billion,1
assa abloy kaupthing bank gave neutral recommendation share price target crowns euro swedish lock maker assa abloy,0
aapl afternoon selloff usual brutal ready lose money,-1
tsla recalling pretty much every single model cnnbrk short even work jump money trade,-1
dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute companies,-1
intercontinental hotels firstquarter global room revenue lags estimates,-1
according finnish pension insurance company varma varma recipient thirds revenue earningsrelated pension cover competitive tendering finland,1
portion million recorded part winnings prior patent dispute finnish phone maker nokia,1
still paying price dividend crisis chief says,-1
company also estimates already carried investments lead increase sales  reached million,1
breweries recorded percent growth domestic beer sales last year million liters million liters sold ,1
augustoctober company result taxes totalled corresponding period ,1
systeemitiimi sales project resources also strengthened director paul skogberg said,1
fine print,0
price logs clearly improved also price pulpwood gone,1
diluted earnings share fell,0
eastern time block contracts changed hands price,0
some recent technology deliveries include refinery technology anrak aluminium iron pelletizing plant tata steel iron sintering plants bhushan steel,0
vips similar pattern like beginning sell same nowwill much higher drop,1
firm generated sales ,0
